id,artist,album,tracklist
118668,Agoria,Sky Is Clear / Kofea,"[<Track 'A' 'Kofea'>, <Track 'B' 'Sky Is Clear'>]"
2469079,Agnes Obel,Philharmonics,"[<Track 'A1' 'Falling, Catching'>, <Track 'A2' 'Riverside'>, <Track 'A3' 'Brother Sparrow'>, <Track 'A4' 'Just So'>, <Track 'A5' 'Beast'>, <Track 'A6' 'Louretta'>, <Track 'B7' 'Avenue'>, <Track 'B8' 'Philharmonics'>, <Track 'B9' 'Close Watch'>, <Track 'B10' 'Wallflower'>, <Track 'B11' 'Over The Hill'>, <Track 'B12' 'On Powdered Ground'>]"
917960,Le Peuple De L'Herbe,Cube,"[<Track 'A1' 'Main Title Theme from ""Le Cube""'>, <Track 'A2' 'Mission'>, <Track 'A3' 'Kin Sapalot'>, <Track 'B1' 'Adventure'>, <Track 'B2' 'Keep Rockin'>, <Track 'B3' ""Déjà à L'Ecole"">, <Track 'C1' 'El Paso'>, <Track 'C2' ""Boxin' da Beat"">, <Track 'C3' 'Down by Law'>, <Track 'D1' 'La Musique Electronique'>, <Track 'D2' 'Honesty'>, <Track 'D3' 'Gumzilla'>]"
5516756,Gene Chandler,Get Down,"[<Track 'A1' 'Get Down'>, <Track 'A2' 'Please Sunrise'>, <Track 'A3' 'Tomorrow I May Not Feel The Same'>, <Track 'B1' ""I'm The Traveling Kind"">, <Track 'B2' 'Greatest Love Ever Known'>, <Track 'B3' 'Give Me The Cue'>, <Track 'B4' 'What Now'>, <Track 'B5' 'Lovequake'>]"
12631866,Tricky,Maxinquaye,"[<Track 'A1' 'Overcome'>, <Track 'A2' 'Ponderosa'>, <Track 'A3' 'Black Steel'>, <Track 'A4' 'Hell Is Round The Corner'>, <Track 'A5' 'Pumpkin'>, <Track 'A6' 'Aftermath'>, <Track 'B1' 'Abbaon Fat Tracks'>, <Track 'B2' ""Brand New You're Retro"">, <Track 'B3' 'Suffocated Love'>, <Track 'B4' ""You Don't"">, <Track 'B5' ""Strugglin'"">, <Track 'B6' 'Feed Me'>]"
14724778,Casey,Tragédie D'Une Trajectoire,"[<Track 'A1' ""Tragédie D'Une Trajectoire"">, <Track 'A2' 'Pas À Vendre'>, <Track 'A3' 'Qui Sont-Ils ?'>, <Track 'B1' 'Chez Moi'>, <Track 'B2' 'Une Lame Dans Ma Veste'>, <Track 'B3' 'Suis Ma Plume'>, <Track 'C1' 'Mourir Con'>, <Track 'C2' 'Ma Haine'>, <Track 'C3' 'Banlieue Nord'>, <Track 'D1' 'On Ne Présente Plus La Famille'>, <Track 'D2' 'Je Lutte'>, <Track 'D3' 'Quand Les Banlieusards Sortent'>]"
14883419,Ausgang,Gangrene,"[<Track 'A1' 'Gangrene'>, <Track 'A2' 'Bonne Conduite'>, <Track 'B1' 'Chuck Berry'>, <Track 'B2' 'Comme Une Ombre'>, <Track 'B3' 'Crapule'>, <Track 'C1' 'Aidez-Moi'>, <Track 'C2' 'Ma Complice'>, <Track 'C3' 'Elite'>, <Track 'D1' ""La Rage M'Appelle"">, <Track 'D2' 'Batard'>]"
1449729,L.T.D.,Shine On,"[<Track 'A1' 'You Gave Me Love'>, <Track 'A2' 'Where Did We Go Wrong'>, <Track 'A3' 'Getaway'>, <Track 'A4' 'Will Love Grow'>, <Track 'B1' 'Love Is What You Need'>, <Track 'B2' 'Shine On'>, <Track 'B3' 'Lovers Everywhere'>, <Track 'B4' 'Lady Love'>, <Track 'B5' ""Don'tcha Know"">]"
8383822,Quincy Jones,The Dude,"[<Track 'A1' 'Ai No Corrida'>, <Track 'A2' 'The Dude'>, <Track 'A3' 'Just Once'>, <Track 'A4' ""Betcha Wouldn't Hurt Me"">, <Track 'B1' 'Something Special'>, <Track 'B2' 'Razzamatazz'>, <Track 'B3' 'One Hundred Ways'>, <Track 'B4' 'Velas'>, <Track 'B5' 'Turn On The Action'>]"
1267938,The Dramatics,Any Time Any Place,"[<Track 'A1' 'I Just Wanna Dance With You'>, <Track 'A2' 'Bottom Line Woman'>, <Track 'A3' ""That's My Favorite Song"">, <Track 'A4' 'I Think About You'>, <Track 'A5' 'Get With The Band And Dance'>, <Track 'B1' 'Life Is Just A Playground'>, <Track 'B2' ""I'm Hooked On You"">, <Track 'B3' 'Stranger (In My Life)'>, <Track 'B4' 'Love Birds'>, <Track 'B5' 'A Marriage On Paper Only'>]"
